Apr28 14:49:20 [DEBUG]      RLDecisionMaker: TAKEDECISION state: 8, pending action: None
Apr28 14:49:20 [DEBUG]      RLDecisionMaker: Collecting metrics
Apr28 14:49:20 [DEBUG]      RLDecisionMaker: New decision in 4.5 mins, see you later!
Apr28 14:49:50 [DEBUG]           MonitorVMs: Refreshing metrics from 83.212.118.4:8649
Apr28 14:49:50 [DEBUG]      RLDecisionMaker: TAKEDECISION state: 8, pending action: None
Apr28 14:49:50 [DEBUG]      RLDecisionMaker: Collecting metrics
Apr28 14:49:50 [DEBUG]      RLDecisionMaker: New decision in 4.0 mins, see you later!
Apr28 14:50:20 [DEBUG]           MonitorVMs: Refreshing metrics from 83.212.118.4:8649
Apr28 14:50:20 [DEBUG]      RLDecisionMaker: TAKEDECISION state: 8, pending action: None
Apr28 14:50:20 [DEBUG]      RLDecisionMaker: Collecting metrics
Apr28 14:50:20 [DEBUG]      RLDecisionMaker: New decision in 3.5 mins, see you later!
Apr28 14:50:50 [DEBUG]           MonitorVMs: Refreshing metrics from 83.212.118.4:8649
Apr28 14:50:50 [DEBUG]      RLDecisionMaker: TAKEDECISION state: 8, pending action: None
Apr28 14:50:50 [DEBUG]      RLDecisionMaker: Collecting metrics
Apr28 14:50:50 [DEBUG]      RLDecisionMaker: New decision in 3.0 mins, see you later!
Apr28 14:51:20 [DEBUG]           MonitorVMs: Refreshing metrics from 83.212.118.4:8649
Apr28 14:51:20 [DEBUG]      RLDecisionMaker: TAKEDECISION state: 8, pending action: None
Apr28 14:51:20 [DEBUG]      RLDecisionMaker: Collecting metrics
Apr28 14:51:20 [DEBUG]      RLDecisionMaker: New decision in 2.5 mins, see you later!
Apr28 14:51:50 [DEBUG]           MonitorVMs: Refreshing metrics from 83.212.118.4:8649
Apr28 14:51:50 [DEBUG]      RLDecisionMaker: TAKEDECISION state: 8, pending action: None
Apr28 14:51:50 [DEBUG]      RLDecisionMaker: Collecting metrics
Apr28 14:51:50 [DEBUG]      RLDecisionMaker: New decision in 2.0 mins, see you later!
Apr28 14:52:20 [DEBUG]           MonitorVMs: Refreshing metrics from 83.212.118.4:8649
Apr28 14:52:20 [DEBUG]      RLDecisionMaker: TAKEDECISION state: 8, pending action: None
Apr28 14:52:20 [DEBUG]      RLDecisionMaker: Collecting metrics
Apr28 14:52:20 [DEBUG]      RLDecisionMaker: New decision in 1.5 mins, see you later!
Apr28 14:52:50 [DEBUG]           MonitorVMs: Refreshing metrics from 83.212.118.4:8649
Apr28 14:52:50 [DEBUG]      RLDecisionMaker: TAKEDECISION state: 8, pending action: None
Apr28 14:52:50 [DEBUG]      RLDecisionMaker: Collecting metrics
Apr28 14:52:50 [DEBUG]      RLDecisionMaker: New decision in 1.0 mins, see you later!
Apr28 14:53:20 [DEBUG]           MonitorVMs: Refreshing metrics from 83.212.118.4:8649
Apr28 14:53:20 [DEBUG]      RLDecisionMaker: TAKEDECISION state: 8, pending action: None
Apr28 14:53:20 [DEBUG]      RLDecisionMaker: Collecting metrics
Apr28 14:53:20 [DEBUG]      RLDecisionMaker: New decision in 0.5 mins, see you later!
Apr28 14:53:50 [DEBUG]           MonitorVMs: Refreshing metrics from 83.212.118.4:8649
Apr28 14:53:50 [DEBUG]      RLDecisionMaker: TAKEDECISION state: 8, pending action: None
Apr28 14:53:50 [DEBUG]      RLDecisionMaker: Collecting metrics
Apr28 14:53:50 [DEBUG]      RLDecisionMaker: TAKEDECISION current lambda: 6350.41854803 lambda range: 5350.41854803 - 7350.41854803
Apr28 14:53:50 [DEBUG]      RLDecisionMaker: DOKMEANS length of self.memory[state]['arrayMeas']: 143
Apr28 14:53:50 [DEBUG]      RLDecisionMaker: DOKMEANS length of sliced_data to be fed to kmeans: 19
Apr28 14:53:50 [DEBUG]      RLDecisionMaker: TAKEDECISION state: 8 met: {'inlambda': 6219.6397389762251, 'latency': 3647.0732415911771, 'throughput': 5800.3108696096015}
Apr28 14:53:50 [DEBUG]      RLDecisionMaker: TAKEDECISION state 8 current reward : -1281.4184162 training set reward: -1281.4184162
Apr28 14:53:50 [DEBUG]      RLDecisionMaker: TAKEDECISION adding current state 8 with gain -1281.4184162
Apr28 14:53:50 [DEBUG]      RLDecisionMaker: DOKMEANS length of self.memory[state]['arrayMeas']: 132
Apr28 14:53:50 [DEBUG]      RLDecisionMaker: DOKMEANS length of sliced_data to be fed to kmeans: 13
Apr28 14:53:50 [DEBUG]      RLDecisionMaker: TAKEDECISION state: 9 met: {'inlambda': 6360.4828108476931, 'latency': 18.198991508061539, 'throughput': 6123.5867893446166}
Apr28 14:53:50 [DEBUG]      RLDecisionMaker: DOKMEANS length of self.memory[state]['arrayMeas']: 121
Apr28 14:53:50 [DEBUG]      RLDecisionMaker: DOKMEANS length of sliced_data to be fed to kmeans: 13
Apr28 14:53:50 [DEBUG]      RLDecisionMaker: TAKEDECISION state: 10 met: {'inlambda': 6362.9876183776933, 'latency': 18.234605308092309, 'throughput': 6204.1882041299996}
Apr28 14:53:50 [DEBUG]      RLDecisionMaker: DOKMEANS length of self.memory[state]['arrayMeas']: 121
Apr28 14:53:50 [DEBUG]      RLDecisionMaker: DOKMEANS length of sliced_data to be fed to kmeans: 14
Apr28 14:53:50 [DEBUG]      RLDecisionMaker: TAKEDECISION state: 11 met: {'inlambda': 6317.2075559121422, 'latency': 12.715450653509999, 'throughput': 6246.9102566257143}
Apr28 14:53:50 [DEBUG]      RLDecisionMaker: DOKMEANS length of self.memory[state]['arrayMeas']: 121
Apr28 14:53:50 [DEBUG]      RLDecisionMaker: DOKMEANS length of sliced_data to be fed to kmeans: 14
Apr28 14:53:50 [DEBUG]      RLDecisionMaker: TAKEDECISION state: 12 met: {'inlambda': 6316.3996437364285, 'latency': 11.04652604677857, 'throughput': 6266.0853925571419}
Apr28 14:53:50 [DEBUG]      RLDecisionMaker: TAKEDECISION Vs: {8: -1281.4184162001347, 9: 178.24594102383699, 10: 177.8527450213131, 11: 178.355678720496, 12: 176.49437832078854}, max V = 12 V[12] 176.494378321
Apr28 14:53:50 [DEBUG]      RLDecisionMaker: Decided to change state to_next: 11 from_curr: 8
Apr28 14:53:50 [DEBUG]      RLDecisionMaker: TAKEDECISION: action ADD 3 nodes.
Apr28 14:53:50 [ INFO]          COORDINATOR: Will add 3 nodes
Apr28 14:53:50 [ INFO]              CLUSTER: Adding 3 nodes
Apr28 14:53:50 [ INFO]              CLUSTER: Using cassandra_node_08 from my stash
Apr28 14:53:50 [ INFO]              CLUSTER: Using cassandra_node_09 from my stash
Apr28 14:53:50 [ INFO]              CLUSTER: Using cassandra_node_10 from my stash
Apr28 14:53:50 [DEBUG]              CLUSTER: Waiting for all the threads to finish adding
Apr28 14:54:20 [DEBUG]           MonitorVMs: Refreshing metrics from 83.212.118.4:8649
Apr28 14:54:20 [DEBUG]      RLDecisionMaker: TAKEDECISION state: 8, pending action: ADD
Apr28 14:54:20 [DEBUG]      RLDecisionMaker: Collecting metrics
Apr28 14:54:20 [DEBUG]      RLDecisionMaker: Last action ADD hasn't finished yet, see you later!
Apr28 14:54:20 [DEBUG]      RLDecisionMaker: Discarding measurement: 8, 6539, 5919, 11507
Apr28 14:54:50 [DEBUG]           MonitorVMs: Refreshing metrics from 83.212.118.4:8649
Apr28 14:54:50 [DEBUG]      RLDecisionMaker: TAKEDECISION state: 8, pending action: ADD
Apr28 14:54:50 [DEBUG]      RLDecisionMaker: Collecting metrics
Apr28 14:54:50 [DEBUG]      RLDecisionMaker: Last action ADD hasn't finished yet, see you later!
